;Vanguard Consumer Discretion ETF (VCR);Vanguard Consumer Staples ETF (VDC);Vanguard Energy ETF (VDE);Vanguard Financials ETF (VFH);Vanguard Health Care ETF (VHT);Vanguard Industrials ETF (VIS);Vanguard Information Tech ETF (VGT);Vanguard Materials ETF (VAW);Vanguard REIT ETF (VNQ);Vanguard Communication Services ETF (VOX);Vanguard Utilities ETF (VPU)
21/09/2016;116.158783;119.9951553;78.67902374;44.62821198;124.5699005;100.8148422;113.3060989;96.52576447;70.73522949;84.93747711;94.4165802
22/09/2016;117.118248;121.076149;78.98831177;44.84415817;125.5167084;101.671463;114.0823135;96.9359436;71.99967194;86.32125092;95.06561279
23/09/2016;116.9971542;120.4785385;77.75111389;44.52923965;125.0897064;100.9714279;113.0600052;96.4983902;72.21993256;86.59436035;94.86065674
26/09/2016;115.7116852;119.476593;77.46688843;43.83642197;123.6509781;100.4924545;112.3405838;96.04262543;72.39124298;86.08456421;94.66424561
27/09/2016;116.652504;119.9775467;76.9653244;44.16034317;124.6070709;101.2016983;113.6184845;96.3525238;71.62442017;86.73091888;93.52843475
28/09/2016;116.904007;120.135788;80.47628021;44.42126083;124.3563995;101.9754105;113.9782028;97.65608978;72.21177673;86.53972626;93.32348633
29/09/2016;116.0749512;119.142601;80.55152893;43.80942917;122.0079651;101.1832962;113.3060989;96.81745911;71.2491684;86.19380188;92.05103302
30/09/2016;117.1275558;120.3027649;81.66333771;44.41226959;123.3539429;102.150444;113.9403305;97.4646759;70.75971222;85.92979431;91.34222412
03/10/2016;117.1368866;119.6435776;81.52122498;44.19632339;123.0568695;102.0767593;113.6090088;97.19117737;69.43817902;85.89337921;90.21497345
04/10/2016;116.7735977;118.6240616;80.75214386;44.38528061;122.8526535;101.4043274;113.3723679;95.67798615;68.49188232;85.02853394;88.25934601
05/10/2016;117.2300339;118.5537567;82.03112793;45.03311157;123.4931412;101.9662247;113.959259;96.37078857;67.10508728;84.65526581;88.06291962
06/10/2016;117.2486572;118.7383194;82.19832611;45.00610733;122.7319794;102.0583267;114.129631;97.08178711;67.12955475;84.40947723;88.05438995
